97 : loss--0.293897 train_acc--0.916667  val/test_acc--0.558824
98 : loss--0.264693 train_acc--0.905797  val/test_acc--0.529412
99 : loss--0.265632 train_acc--0.938406  val/test_acc--0.647059
100 : loss--0.206368 train_acc--0.923913  val/test_acc--0.588235
101 : loss--0.208387 train_acc--0.931159  val/test_acc--0.529412
102 : loss--0.193893 train_acc--0.963768  val/test_acc--0.470588
103 : loss--0.156572 train_acc--0.934783  val/test_acc--0.529412
104 : loss--0.184865 train_acc--0.949275  val/test_acc--0.558824
105 : loss--0.173920 train_acc--0.916667  val/test_acc--0.647059
106 : loss--0.193350 train_acc--0.960145  val/test_acc--0.500000
107 : loss--0.183528 train_acc--0.967391  val/test_acc--0.529412
108 : loss--0.183593 train_acc--0.967391  val/test_acc--0.500000
109 : loss--0.189494 train_acc--0.949275  val/test_acc--0.500000
110 : loss--0.189765 train_acc--0.931159  val/test_acc--0.558824
111 : loss--0.171044 train_acc--0.952899  val/test_acc--0.500000
112 : loss--0.184956 train_acc--0.956522  val/test_acc--0.558824
113 : loss--0.150875 train_acc--0.974638  val/test_acc--0.500000
114 : loss--0.174294 train_acc--0.967391  val/test_acc--0.558824
115 : loss--0.165020 train_acc--0.956522  val/test_acc--0.558824
116 : loss--0.195750 train_acc--0.967391  val/test_acc--0.617647
117 : loss--0.176985 train_acc--0.952899  val/test_acc--0.647059
118 : loss--0.147434 train_acc--0.945652  val/test_acc--0.558824
119 : loss--0.172917 train_acc--0.931159  val/test_acc--0.529412
120 : loss--0.170402 train_acc--0.938406  val/test_acc--0.441176
121 : loss--0.167462 train_acc--0.952899  val/test_acc--0.647059
122 : loss--0.176078 train_acc--0.956522  val/test_acc--0.558824
123 : loss--0.147793 train_acc--0.967391  val/test_acc--0.529412
124 : loss--0.154988 train_acc--0.952899  val/test_acc--0.588235
125 : loss--0.143903 train_acc--0.963768  val/test_acc--0.588235
126 : loss--0.129447 train_acc--0.971014  val/test_acc--0.617647
127 : loss--0.157017 train_acc--0.956522  val/test_acc--0.588235
128 : loss--0.185548 train_acc--0.956522  val/test_acc--0.558824
129 : loss--0.128222 train_acc--0.971014  val/test_acc--0.529412
130 : loss--0.158093 train_acc--0.952899  val/test_acc--0.470588
131 : loss--0.168602 train_acc--0.931159  val/test_acc--0.529412
132 : loss--0.138982 train_acc--0.963768  val/test_acc--0.500000
133 : loss--0.223906 train_acc--0.952899  val/test_acc--0.500000
134 : loss--0.165089 train_acc--0.938406  val/test_acc--0.588235
135 : loss--0.151079 train_acc--0.960145  val/test_acc--0.558824
136 : loss--0.164098 train_acc--0.949275  val/test_acc--0.588235
137 : loss--0.205850 train_acc--0.942029  val/test_acc--0.558824
138 : loss--0.169513 train_acc--0.960145  val/test_acc--0.558824
139 : loss--0.199685 train_acc--0.960145  val/test_acc--0.500000
140 : loss--0.160501 train_acc--0.938406  val/test_acc--0.470588
141 : loss--0.207653 train_acc--0.967391  val/test_acc--0.617647
142 : loss--0.156484 train_acc--0.956522  val/test_acc--0.588235
143 : loss--0.153773 train_acc--0.978261  val/test_acc--0.558824
144 : loss--0.162918 train_acc--0.960145  val/test_acc--0.588235
145 : loss--0.174662 train_acc--0.927536  val/test_acc--0.470588
146 : loss--0.236916 train_acc--0.956522  val/test_acc--0.588235
147 : loss--0.227946 train_acc--0.960145  val/test_acc--0.617647
148 : loss--0.161471 train_acc--0.960145  val/test_acc--0.470588
149 : loss--0.116338 train_acc--0.971014  val/test_acc--0.588235
150 : loss--0.133395 train_acc--0.971014  val/test_acc--0.588235
151 : loss--0.111375 train_acc--0.978261  val/test_acc--0.500000
152 : loss--0.103971 train_acc--0.974638  val/test_acc--0.588235
153 : loss--0.112019 train_acc--0.978261  val/test_acc--0.558824
154 : loss--0.117258 train_acc--0.981884  val/test_acc--0.558824
155 : loss--0.151159 train_acc--0.985507  val/test_acc--0.500000
156 : loss--0.120086 train_acc--0.985507  val/test_acc--0.529412
157 : loss--0.095007 train_acc--0.981884  val/test_acc--0.558824
158 : loss--0.088727 train_acc--0.981884  val/test_acc--0.529412
159 : loss--0.113663 train_acc--0.967391  val/test_acc--0.500000
160 : loss--0.095668 train_acc--0.971014  val/test_acc--0.558824
161 : loss--0.102590 train_acc--0.981884  val/test_acc--0.558824
162 : loss--0.101881 train_acc--0.981884  val/test_acc--0.529412
163 : loss--0.106021 train_acc--0.981884  val/test_acc--0.617647
164 : loss--0.115327 train_acc--0.960145  val/test_acc--0.500000
165 : loss--0.110154 train_acc--0.978261  val/test_acc--0.500000
166 : loss--0.096291 train_acc--0.985507  val/test_acc--0.558824
167 : loss--0.119562 train_acc--0.985507  val/test_acc--0.558824
168 : loss--0.106551 train_acc--0.981884  val/test_acc--0.558824
169 : loss--0.078016 train_acc--0.989130  val/test_acc--0.529412
170 : loss--0.083368 train_acc--0.985507  val/test_acc--0.500000
171 : loss--0.081608 train_acc--0.981884  val/test_acc--0.558824
172 : loss--0.074092 train_acc--0.978261  val/test_acc--0.441176
173 : loss--0.115870 train_acc--0.985507  val/test_acc--0.500000
