1 : loss--108.353798 train_acc--0.592727  val/test_acc--0.323529
2 : loss--52.425161 train_acc--0.494545  val/test_acc--0.529412
3 : loss--34.083173 train_acc--0.578182  val/test_acc--0.529412
4 : loss--16.790658 train_acc--0.625455  val/test_acc--0.529412
5 : loss--10.924689 train_acc--0.610909  val/test_acc--0.382353
6 : loss--8.891169 train_acc--0.665455  val/test_acc--0.588235
7 : loss--7.234379 train_acc--0.698182  val/test_acc--0.735294
8 : loss--6.580821 train_acc--0.650909  val/test_acc--0.617647
9 : loss--6.324828 train_acc--0.694545  val/test_acc--0.411765
10 : loss--3.160276 train_acc--0.712727  val/test_acc--0.529412
11 : loss--4.237432 train_acc--0.734545  val/test_acc--0.529412
12 : loss--2.984826 train_acc--0.709091  val/test_acc--0.470588
13 : loss--2.711319 train_acc--0.629091  val/test_acc--0.617647
14 : loss--3.040674 train_acc--0.632727  val/test_acc--0.588235
15 : loss--1.926816 train_acc--0.680000  val/test_acc--0.411765
16 : loss--1.833121 train_acc--0.661818  val/test_acc--0.470588
17 : loss--3.423794 train_acc--0.545455  val/test_acc--0.558824
18 : loss--2.039781 train_acc--0.705455  val/test_acc--0.411765
19 : loss--1.352960 train_acc--0.720000  val/test_acc--0.470588
20 : loss--1.205628 train_acc--0.650909  val/test_acc--0.558824
21 : loss--1.386548 train_acc--0.643636  val/test_acc--0.382353
22 : loss--1.331468 train_acc--0.625455  val/test_acc--0.647059
23 : loss--1.635842 train_acc--0.629091  val/test_acc--0.382353
24 : loss--1.835422 train_acc--0.676364  val/test_acc--0.441176
25 : loss--1.545832 train_acc--0.676364  val/test_acc--0.558824
26 : loss--0.994210 train_acc--0.756364  val/test_acc--0.500000
27 : loss--1.079749 train_acc--0.727273  val/test_acc--0.529412
28 : loss--1.316735 train_acc--0.712727  val/test_acc--0.470588
29 : loss--1.241828 train_acc--0.712727  val/test_acc--0.500000
30 : loss--1.090991 train_acc--0.767273  val/test_acc--0.558824
31 : loss--1.057152 train_acc--0.727273  val/test_acc--0.617647
32 : loss--0.782330 train_acc--0.741818  val/test_acc--0.441176
33 : loss--0.860557 train_acc--0.723636  val/test_acc--0.500000
34 : loss--0.835416 train_acc--0.669091  val/test_acc--0.470588
35 : loss--1.031281 train_acc--0.723636  val/test_acc--0.441176
36 : loss--0.781150 train_acc--0.665455  val/test_acc--0.588235
37 : loss--0.916603 train_acc--0.680000  val/test_acc--0.441176
38 : loss--0.799021 train_acc--0.720000  val/test_acc--0.470588
39 : loss--0.685353 train_acc--0.760000  val/test_acc--0.500000
40 : loss--0.571986 train_acc--0.741818  val/test_acc--0.382353
41 : loss--0.601882 train_acc--0.756364  val/test_acc--0.529412
42 : loss--0.558286 train_acc--0.796364  val/test_acc--0.529412
43 : loss--0.540855 train_acc--0.767273  val/test_acc--0.617647
44 : loss--0.660501 train_acc--0.665455  val/test_acc--0.441176
45 : loss--0.624385 train_acc--0.796364  val/test_acc--0.470588
46 : loss--0.520562 train_acc--0.796364  val/test_acc--0.617647
47 : loss--0.519289 train_acc--0.825455  val/test_acc--0.617647
48 : loss--0.537192 train_acc--0.825455  val/test_acc--0.647059
49 : loss--0.513786 train_acc--0.829091  val/test_acc--0.588235
50 : loss--0.445453 train_acc--0.800000  val/test_acc--0.529412
51 : loss--0.465389 train_acc--0.810909  val/test_acc--0.647059
52 : loss--0.434430 train_acc--0.829091  val/test_acc--0.529412
53 : loss--0.470417 train_acc--0.825455  val/test_acc--0.558824
54 : loss--0.415447 train_acc--0.821818  val/test_acc--0.617647
55 : loss--0.451764 train_acc--0.832727  val/test_acc--0.647059
56 : loss--0.451588 train_acc--0.847273  val/test_acc--0.558824
57 : loss--0.442316 train_acc--0.840000  val/test_acc--0.588235
58 : loss--0.443129 train_acc--0.840000  val/test_acc--0.500000
59 : loss--0.443814 train_acc--0.821818  val/test_acc--0.470588
60 : loss--0.396196 train_acc--0.876364  val/test_acc--0.558824
61 : loss--0.400854 train_acc--0.865455  val/test_acc--0.558824
62 : loss--0.450549 train_acc--0.843636  val/test_acc--0.705882
63 : loss--0.431994 train_acc--0.876364  val/test_acc--0.617647
64 : loss--0.440504 train_acc--0.836364  val/test_acc--0.558824
65 : loss--0.407223 train_acc--0.872727  val/test_acc--0.735294
66 : loss--0.431516 train_acc--0.865455  val/test_acc--0.617647
67 : loss--0.384831 train_acc--0.887273  val/test_acc--0.529412
68 : loss--0.370292 train_acc--0.850909  val/test_acc--0.500000
69 : loss--0.414747 train_acc--0.861818  val/test_acc--0.500000
70 : loss--0.401853 train_acc--0.861818  val/test_acc--0.558824
71 : loss--0.439565 train_acc--0.850909  val/test_acc--0.441176
72 : loss--0.413273 train_acc--0.880000  val/test_acc--0.647059
73 : loss--0.364759 train_acc--0.890909  val/test_acc--0.647059
74 : loss--0.407121 train_acc--0.872727  val/test_acc--0.529412
75 : loss--0.360657 train_acc--0.909091  val/test_acc--0.617647
76 : loss--0.331070 train_acc--0.898182  val/test_acc--0.500000
77 : loss--0.363134 train_acc--0.894545  val/test_acc--0.558824
78 : loss--0.353385 train_acc--0.883636  val/test_acc--0.647059
79 : loss--0.366754 train_acc--0.890909  val/test_acc--0.676471
80 : loss--0.363201 train_acc--0.901818  val/test_acc--0.500000
81 : loss--0.352818 train_acc--0.894545  val/test_acc--0.558824
82 : loss--0.342124 train_acc--0.890909  val/test_acc--0.470588
83 : loss--0.292671 train_acc--0.890909  val/test_acc--0.558824
84 : loss--0.332359 train_acc--0.898182  val/test_acc--0.617647
85 : loss--0.326506 train_acc--0.880000  val/test_acc--0.588235
86 : loss--0.346223 train_acc--0.912727  val/test_acc--0.558824
87 : loss--0.290317 train_acc--0.898182  val/test_acc--0.529412
88 : loss--0.324718 train_acc--0.894545  val/test_acc--0.588235
89 : loss--0.322745 train_acc--0.912727  val/test_acc--0.588235
