97 : loss--0.157763 train_acc--0.920530  val/test_acc--0.777778
98 : loss--0.123180 train_acc--0.986755  val/test_acc--0.944444
99 : loss--0.113489 train_acc--0.973510  val/test_acc--0.833333
100 : loss--0.101548 train_acc--0.986755  val/test_acc--0.944444
101 : loss--0.090827 train_acc--0.993377  val/test_acc--0.888889
102 : loss--0.083290 train_acc--1.000000  val/test_acc--0.888889
103 : loss--0.096638 train_acc--0.993377  val/test_acc--0.888889
104 : loss--0.090354 train_acc--0.993377  val/test_acc--0.833333
105 : loss--0.098990 train_acc--0.993377  val/test_acc--0.833333
106 : loss--0.082203 train_acc--1.000000  val/test_acc--0.833333
107 : loss--0.094465 train_acc--0.993377  val/test_acc--0.833333
108 : loss--0.092845 train_acc--0.993377  val/test_acc--0.888889
109 : loss--0.086212 train_acc--1.000000  val/test_acc--0.888889
110 : loss--0.115574 train_acc--0.986755  val/test_acc--0.944444
111 : loss--0.099312 train_acc--1.000000  val/test_acc--0.888889
112 : loss--0.094535 train_acc--0.980132  val/test_acc--0.944444
113 : loss--0.082549 train_acc--0.993377  val/test_acc--0.888889
114 : loss--0.076380 train_acc--0.993377  val/test_acc--0.888889
115 : loss--0.099229 train_acc--0.993377  val/test_acc--0.888889
116 : loss--0.099530 train_acc--1.000000  val/test_acc--0.888889
117 : loss--0.094958 train_acc--1.000000  val/test_acc--0.888889
118 : loss--0.087049 train_acc--1.000000  val/test_acc--0.833333
119 : loss--0.086403 train_acc--1.000000  val/test_acc--0.888889
120 : loss--0.091720 train_acc--1.000000  val/test_acc--0.888889
121 : loss--0.089202 train_acc--1.000000  val/test_acc--0.888889
122 : loss--0.085279 train_acc--0.993377  val/test_acc--0.888889
123 : loss--0.123088 train_acc--0.993377  val/test_acc--0.888889
124 : loss--0.091439 train_acc--0.993377  val/test_acc--0.888889
125 : loss--0.089874 train_acc--0.993377  val/test_acc--0.888889
126 : loss--0.101941 train_acc--0.986755  val/test_acc--0.833333
127 : loss--0.086751 train_acc--0.993377  val/test_acc--0.888889
128 : loss--0.091411 train_acc--0.993377  val/test_acc--0.833333
129 : loss--0.075046 train_acc--0.993377  val/test_acc--0.944444
130 : loss--0.093292 train_acc--1.000000  val/test_acc--0.777778
131 : loss--0.068212 train_acc--0.993377  val/test_acc--0.888889
132 : loss--0.074294 train_acc--0.993377  val/test_acc--0.888889
133 : loss--0.087681 train_acc--1.000000  val/test_acc--0.888889
134 : loss--0.077986 train_acc--1.000000  val/test_acc--0.888889
135 : loss--0.067550 train_acc--1.000000  val/test_acc--0.888889
136 : loss--0.092164 train_acc--0.993377  val/test_acc--0.888889
137 : loss--0.072022 train_acc--1.000000  val/test_acc--0.888889
138 : loss--0.114000 train_acc--0.993377  val/test_acc--0.888889
139 : loss--0.130987 train_acc--0.993377  val/test_acc--0.888889
140 : loss--0.085990 train_acc--1.000000  val/test_acc--0.888889
141 : loss--0.096463 train_acc--0.980132  val/test_acc--0.888889
142 : loss--0.101404 train_acc--0.993377  val/test_acc--0.833333
143 : loss--0.090548 train_acc--0.986755  val/test_acc--0.777778
144 : loss--0.115795 train_acc--0.986755  val/test_acc--0.944444
145 : loss--0.096061 train_acc--1.000000  val/test_acc--0.888889
146 : loss--0.082051 train_acc--1.000000  val/test_acc--0.888889
147 : loss--0.110788 train_acc--1.000000  val/test_acc--0.833333
148 : loss--0.099022 train_acc--1.000000  val/test_acc--0.888889
149 : loss--0.097112 train_acc--1.000000  val/test_acc--0.833333
150 : loss--0.074079 train_acc--1.000000  val/test_acc--0.888889
151 : loss--0.083965 train_acc--1.000000  val/test_acc--0.888889
152 : loss--0.079285 train_acc--1.000000  val/test_acc--0.888889
153 : loss--0.064035 train_acc--1.000000  val/test_acc--0.888889
154 : loss--0.072257 train_acc--1.000000  val/test_acc--0.888889
155 : loss--0.069901 train_acc--1.000000  val/test_acc--0.888889
156 : loss--0.060127 train_acc--1.000000  val/test_acc--0.888889
157 : loss--0.075353 train_acc--0.993377  val/test_acc--0.833333
158 : loss--0.088463 train_acc--1.000000  val/test_acc--0.888889
159 : loss--0.083683 train_acc--1.000000  val/test_acc--0.777778
160 : loss--0.063243 train_acc--1.000000  val/test_acc--0.833333
161 : loss--0.076693 train_acc--1.000000  val/test_acc--0.888889
162 : loss--0.074049 train_acc--1.000000  val/test_acc--0.888889
163 : loss--0.080702 train_acc--1.000000  val/test_acc--0.888889
164 : loss--0.074903 train_acc--1.000000  val/test_acc--0.888889
165 : loss--0.075750 train_acc--1.000000  val/test_acc--0.888889
166 : loss--0.069083 train_acc--1.000000  val/test_acc--0.888889
