1 : loss--213.605527 train_acc--0.605839  val/test_acc--0.603406
2 : loss--92.885631 train_acc--0.558394  val/test_acc--0.562044
3 : loss--57.230359 train_acc--0.544404  val/test_acc--0.532847
4 : loss--40.200679 train_acc--0.658759  val/test_acc--0.666667
5 : loss--14.996715 train_acc--0.532543  val/test_acc--0.523114
6 : loss--19.525685 train_acc--0.664842  val/test_acc--0.659367
7 : loss--10.956624 train_acc--0.646290  val/test_acc--0.652068
8 : loss--9.665255 train_acc--0.671837  val/test_acc--0.664234
9 : loss--9.208005 train_acc--0.669708  val/test_acc--0.671533
10 : loss--10.156083 train_acc--0.700730  val/test_acc--0.717762
11 : loss--7.392259 train_acc--0.672445  val/test_acc--0.676399
12 : loss--4.800967 train_acc--0.675487  val/test_acc--0.664234
13 : loss--4.867436 train_acc--0.614355  val/test_acc--0.571776
14 : loss--4.954285 train_acc--0.637470  val/test_acc--0.622871
15 : loss--5.062687 train_acc--0.634428  val/test_acc--0.642336
16 : loss--5.644136 train_acc--0.659367  val/test_acc--0.630170
17 : loss--1.760465 train_acc--0.716849  val/test_acc--0.712895
18 : loss--3.933846 train_acc--0.701338  val/test_acc--0.705596
19 : loss--2.795065 train_acc--0.698297  val/test_acc--0.695864
20 : loss--3.794825 train_acc--0.684002  val/test_acc--0.695864
21 : loss--2.631272 train_acc--0.714720  val/test_acc--0.722628
22 : loss--1.898628 train_acc--0.714112  val/test_acc--0.705596
23 : loss--2.163576 train_acc--0.717153  val/test_acc--0.725061
24 : loss--1.330267 train_acc--0.726886  val/test_acc--0.734793
25 : loss--1.651809 train_acc--0.668187  val/test_acc--0.671533
26 : loss--1.649812 train_acc--0.720803  val/test_acc--0.729927
27 : loss--1.202128 train_acc--0.716545  val/test_acc--0.727494
28 : loss--1.336850 train_acc--0.696168  val/test_acc--0.683698
29 : loss--2.114913 train_acc--0.621350  val/test_acc--0.625304
30 : loss--1.517665 train_acc--0.718066  val/test_acc--0.717762
31 : loss--1.421899 train_acc--0.731448  val/test_acc--0.722628
32 : loss--0.994756 train_acc--0.705900  val/test_acc--0.710462
33 : loss--0.996253 train_acc--0.684002  val/test_acc--0.686131
34 : loss--0.861400 train_acc--0.717457  val/test_acc--0.710462
35 : loss--1.114347 train_acc--0.653893  val/test_acc--0.661800
36 : loss--1.059674 train_acc--0.709246  val/test_acc--0.705596
37 : loss--1.160534 train_acc--0.729015  val/test_acc--0.746959
38 : loss--1.041338 train_acc--0.706204  val/test_acc--0.727494
39 : loss--1.188599 train_acc--0.661496  val/test_acc--0.661800
40 : loss--0.878643 train_acc--0.706509  val/test_acc--0.720195
41 : loss--0.781764 train_acc--0.700122  val/test_acc--0.715328
42 : loss--0.985164 train_acc--0.692822  val/test_acc--0.700730
43 : loss--0.781328 train_acc--0.708637  val/test_acc--0.708029
44 : loss--0.922579 train_acc--0.727494  val/test_acc--0.734793
45 : loss--0.962037 train_acc--0.732360  val/test_acc--0.732360
46 : loss--0.819821 train_acc--0.694647  val/test_acc--0.695864
47 : loss--0.966716 train_acc--0.736010  val/test_acc--0.751825
48 : loss--0.812425 train_acc--0.725669  val/test_acc--0.717762
49 : loss--0.825191 train_acc--0.733881  val/test_acc--0.742092
50 : loss--0.729413 train_acc--0.705292  val/test_acc--0.712895
