97 : loss--0.584484 train_acc--0.736922  val/test_acc--0.683698
98 : loss--0.631230 train_acc--0.730535  val/test_acc--0.710462
99 : loss--0.667040 train_acc--0.756083  val/test_acc--0.717762
100 : loss--0.580710 train_acc--0.763990  val/test_acc--0.717762
101 : loss--0.523122 train_acc--0.759428  val/test_acc--0.744526
102 : loss--0.552604 train_acc--0.763382  val/test_acc--0.717762
103 : loss--0.547105 train_acc--0.758516  val/test_acc--0.744526
104 : loss--0.496841 train_acc--0.761557  val/test_acc--0.725061
105 : loss--0.504808 train_acc--0.770073  val/test_acc--0.739659
106 : loss--0.504265 train_acc--0.755779  val/test_acc--0.712895
107 : loss--0.534231 train_acc--0.768856  val/test_acc--0.717762
108 : loss--0.522916 train_acc--0.761253  val/test_acc--0.756691
109 : loss--0.519316 train_acc--0.770073  val/test_acc--0.737226
110 : loss--0.566604 train_acc--0.755474  val/test_acc--0.700730
111 : loss--0.551332 train_acc--0.775547  val/test_acc--0.717762
112 : loss--0.584407 train_acc--0.718674  val/test_acc--0.683698
113 : loss--0.508872 train_acc--0.776156  val/test_acc--0.734793
114 : loss--0.505154 train_acc--0.781630  val/test_acc--0.734793
115 : loss--0.518702 train_acc--0.764599  val/test_acc--0.737226
116 : loss--0.506874 train_acc--0.774939  val/test_acc--0.727494
117 : loss--0.512195 train_acc--0.777676  val/test_acc--0.749392
118 : loss--0.551870 train_acc--0.782847  val/test_acc--0.737226
119 : loss--0.515570 train_acc--0.775547  val/test_acc--0.744526
120 : loss--0.544783 train_acc--0.772202  val/test_acc--0.705596
121 : loss--0.501919 train_acc--0.783455  val/test_acc--0.734793
122 : loss--0.530113 train_acc--0.783151  val/test_acc--0.734793
123 : loss--0.525702 train_acc--0.767640  val/test_acc--0.717762
124 : loss--0.526346 train_acc--0.790450  val/test_acc--0.737226
125 : loss--0.506996 train_acc--0.784063  val/test_acc--0.729927
126 : loss--0.532182 train_acc--0.762165  val/test_acc--0.712895
127 : loss--0.509880 train_acc--0.781326  val/test_acc--0.734793
128 : loss--0.511981 train_acc--0.782543  val/test_acc--0.725061
129 : loss--0.498622 train_acc--0.785888  val/test_acc--0.729927
130 : loss--0.502019 train_acc--0.748175  val/test_acc--0.688564
131 : loss--0.534074 train_acc--0.786496  val/test_acc--0.725061
132 : loss--0.495458 train_acc--0.787409  val/test_acc--0.703163
133 : loss--0.490367 train_acc--0.804136  val/test_acc--0.759124
134 : loss--0.492183 train_acc--0.781326  val/test_acc--0.732360
135 : loss--0.499371 train_acc--0.788017  val/test_acc--0.722628
136 : loss--0.526031 train_acc--0.776460  val/test_acc--0.700730
137 : loss--0.522016 train_acc--0.783151  val/test_acc--0.720195
138 : loss--0.485994 train_acc--0.787713  val/test_acc--0.746959
139 : loss--0.532989 train_acc--0.784367  val/test_acc--0.712895
140 : loss--0.548948 train_acc--0.772506  val/test_acc--0.720195
141 : loss--0.493350 train_acc--0.801703  val/test_acc--0.705596
142 : loss--0.523727 train_acc--0.781326  val/test_acc--0.742092
143 : loss--0.479166 train_acc--0.789234  val/test_acc--0.734793
144 : loss--0.508330 train_acc--0.787713  val/test_acc--0.717762
145 : loss--0.557760 train_acc--0.752433  val/test_acc--0.693431
146 : loss--0.474373 train_acc--0.813869  val/test_acc--0.739659
147 : loss--0.497529 train_acc--0.800791  val/test_acc--0.734793
148 : loss--0.500977 train_acc--0.805049  val/test_acc--0.732360
149 : loss--0.497891 train_acc--0.791667  val/test_acc--0.732360
150 : loss--0.455748 train_acc--0.814781  val/test_acc--0.751825
151 : loss--0.417340 train_acc--0.809002  val/test_acc--0.722628
152 : loss--0.458599 train_acc--0.805353  val/test_acc--0.744526
153 : loss--0.502218 train_acc--0.818735  val/test_acc--0.761557
154 : loss--0.476781 train_acc--0.822993  val/test_acc--0.763990
155 : loss--0.453176 train_acc--0.809002  val/test_acc--0.759124
156 : loss--0.441072 train_acc--0.815693  val/test_acc--0.771290
157 : loss--0.450920 train_acc--0.819647  val/test_acc--0.766423
158 : loss--0.478021 train_acc--0.819951  val/test_acc--0.761557
159 : loss--0.433038 train_acc--0.809915  val/test_acc--0.754258
160 : loss--0.485105 train_acc--0.791058  val/test_acc--0.725061
161 : loss--0.447807 train_acc--0.828163  val/test_acc--0.749392
162 : loss--0.455770 train_acc--0.825426  val/test_acc--0.754258
163 : loss--0.467668 train_acc--0.799878  val/test_acc--0.739659
164 : loss--0.457566 train_acc--0.824209  val/test_acc--0.766423
165 : loss--0.453956 train_acc--0.813869  val/test_acc--0.759124
166 : loss--0.455857 train_acc--0.825426  val/test_acc--0.763990
167 : loss--0.448216 train_acc--0.809611  val/test_acc--0.749392
168 : loss--0.427338 train_acc--0.815998  val/test_acc--0.737226
169 : loss--0.412918 train_acc--0.814173  val/test_acc--0.742092
170 : loss--0.455252 train_acc--0.819343  val/test_acc--0.744526
171 : loss--0.443949 train_acc--0.823905  val/test_acc--0.756691
172 : loss--0.445112 train_acc--0.823297  val/test_acc--0.751825
173 : loss--0.457174 train_acc--0.827859  val/test_acc--0.778589
174 : loss--0.449964 train_acc--0.831509  val/test_acc--0.756691
175 : loss--0.461572 train_acc--0.816606  val/test_acc--0.749392
176 : loss--0.436323 train_acc--0.826338  val/test_acc--0.773723
177 : loss--0.451548 train_acc--0.829988  val/test_acc--0.759124
178 : loss--0.444894 train_acc--0.825426  val/test_acc--0.776156
179 : loss--0.424743 train_acc--0.830900  val/test_acc--0.763990
180 : loss--0.471206 train_acc--0.829075  val/test_acc--0.754258
181 : loss--0.483440 train_acc--0.830900  val/test_acc--0.766423
182 : loss--0.436411 train_acc--0.820255  val/test_acc--0.734793
183 : loss--0.448679 train_acc--0.820864  val/test_acc--0.756691
184 : loss--0.434099 train_acc--0.839720  val/test_acc--0.781022
185 : loss--0.419633 train_acc--0.821776  val/test_acc--0.751825
186 : loss--0.449546 train_acc--0.815389  val/test_acc--0.754258
187 : loss--0.444015 train_acc--0.829988  val/test_acc--0.746959
188 : loss--0.429978 train_acc--0.823297  val/test_acc--0.746959
189 : loss--0.441840 train_acc--0.821168  val/test_acc--0.751825
190 : loss--0.429716 train_acc--0.839416  val/test_acc--0.783455
191 : loss--0.469756 train_acc--0.830596  val/test_acc--0.759124
192 : loss--0.444022 train_acc--0.834246  val/test_acc--0.761557
193 : loss--0.430538 train_acc--0.838200  val/test_acc--0.754258
194 : loss--0.431393 train_acc--0.821472  val/test_acc--0.749392
195 : loss--0.435568 train_acc--0.828467  val/test_acc--0.768856
196 : loss--0.422358 train_acc--0.832421  val/test_acc--0.749392
197 : loss--0.451225 train_acc--0.828771  val/test_acc--0.754258
198 : loss--0.444546 train_acc--0.833942  val/test_acc--0.771290
199 : loss--0.440811 train_acc--0.846715  val/test_acc--0.773723
200 : loss--0.413191 train_acc--0.845195  val/test_acc--0.785888
201 : loss--0.395790 train_acc--0.840937  val/test_acc--0.759124
202 : loss--0.396063 train_acc--0.832725  val/test_acc--0.756691
203 : loss--0.401563 train_acc--0.856448  val/test_acc--0.802920
204 : loss--0.395747 train_acc--0.845803  val/test_acc--0.766423
205 : loss--0.414425 train_acc--0.836071  val/test_acc--0.763990
206 : loss--0.398579 train_acc--0.830292  val/test_acc--0.754258
207 : loss--0.399743 train_acc--0.842762  val/test_acc--0.756691
208 : loss--0.378286 train_acc--0.837287  val/test_acc--0.778589
209 : loss--0.420326 train_acc--0.853406  val/test_acc--0.785888
210 : loss--0.393319 train_acc--0.833029  val/test_acc--0.773723
211 : loss--0.393865 train_acc--0.845803  val/test_acc--0.798054
212 : loss--0.379394 train_acc--0.848236  val/test_acc--0.785888
213 : loss--0.417204 train_acc--0.847932  val/test_acc--0.785888
214 : loss--0.398303 train_acc--0.848844  val/test_acc--0.783455
215 : loss--0.403856 train_acc--0.822384  val/test_acc--0.763990
216 : loss--0.378083 train_acc--0.849148  val/test_acc--0.783455
217 : loss--0.394255 train_acc--0.843674  val/test_acc--0.783455
218 : loss--0.350473 train_acc--0.850669  val/test_acc--0.773723
219 : loss--0.406601 train_acc--0.836071  val/test_acc--0.771290
220 : loss--0.404024 train_acc--0.851582  val/test_acc--0.783455
221 : loss--0.398675 train_acc--0.848540  val/test_acc--0.781022
222 : loss--0.379070 train_acc--0.853710  val/test_acc--0.798054
223 : loss--0.386801 train_acc--0.843978  val/test_acc--0.771290
224 : loss--0.400119 train_acc--0.850669  val/test_acc--0.778589
225 : loss--0.382905 train_acc--0.851886  val/test_acc--0.761557
226 : loss--0.375766 train_acc--0.855231  val/test_acc--0.788321
227 : loss--0.401484 train_acc--0.860706  val/test_acc--0.783455
228 : loss--0.407798 train_acc--0.846107  val/test_acc--0.768856
229 : loss--0.382040 train_acc--0.841545  val/test_acc--0.778589
230 : loss--0.427439 train_acc--0.860097  val/test_acc--0.802920
231 : loss--0.386676 train_acc--0.840633  val/test_acc--0.783455
232 : loss--0.388332 train_acc--0.853710  val/test_acc--0.788321
233 : loss--0.398554 train_acc--0.846411  val/test_acc--0.763990
234 : loss--0.373009 train_acc--0.840328  val/test_acc--0.768856
235 : loss--0.383904 train_acc--0.843978  val/test_acc--0.761557
236 : loss--0.400504 train_acc--0.864964  val/test_acc--0.793187
237 : loss--0.388969 train_acc--0.850061  val/test_acc--0.781022
238 : loss--0.370298 train_acc--0.861010  val/test_acc--0.793187
239 : loss--0.398218 train_acc--0.863747  val/test_acc--0.805353
240 : loss--0.377385 train_acc--0.843066  val/test_acc--0.783455
241 : loss--0.394277 train_acc--0.846107  val/test_acc--0.781022
242 : loss--0.380680 train_acc--0.855839  val/test_acc--0.790754
243 : loss--0.383323 train_acc--0.856752  val/test_acc--0.783455
244 : loss--0.373975 train_acc--0.843978  val/test_acc--0.768856
245 : loss--0.417432 train_acc--0.847932  val/test_acc--0.761557
246 : loss--0.378289 train_acc--0.858881  val/test_acc--0.771290
247 : loss--0.389297 train_acc--0.847932  val/test_acc--0.766423
248 : loss--0.389411 train_acc--0.861010  val/test_acc--0.778589
249 : loss--0.357142 train_acc--0.833942  val/test_acc--0.773723
250 : loss--0.407148 train_acc--0.864355  val/test_acc--0.781022
251 : loss--0.346017 train_acc--0.871046  val/test_acc--0.788321
252 : loss--0.366890 train_acc--0.866788  val/test_acc--0.781022
253 : loss--0.389522 train_acc--0.871350  val/test_acc--0.795620
254 : loss--0.350223 train_acc--0.866180  val/test_acc--0.788321
255 : loss--0.392369 train_acc--0.861314  val/test_acc--0.788321
256 : loss--0.354862 train_acc--0.858577  val/test_acc--0.793187
257 : loss--0.376247 train_acc--0.869830  val/test_acc--0.805353
258 : loss--0.362287 train_acc--0.861618  val/test_acc--0.788321
259 : loss--0.383923 train_acc--0.867092  val/test_acc--0.788321
260 : loss--0.364335 train_acc--0.869526  val/test_acc--0.795620
261 : loss--0.368505 train_acc--0.873479  val/test_acc--0.815085
262 : loss--0.374668 train_acc--0.857664  val/test_acc--0.783455
263 : loss--0.351788 train_acc--0.860706  val/test_acc--0.790754
264 : loss--0.394477 train_acc--0.867092  val/test_acc--0.795620
265 : loss--0.400937 train_acc--0.865268  val/test_acc--0.795620
266 : loss--0.389292 train_acc--0.850669  val/test_acc--0.790754
267 : loss--0.386597 train_acc--0.846715  val/test_acc--0.781022
268 : loss--0.374047 train_acc--0.866788  val/test_acc--0.800487
269 : loss--0.364493 train_acc--0.861922  val/test_acc--0.793187
270 : loss--0.345327 train_acc--0.872567  val/test_acc--0.807786
271 : loss--0.353032 train_acc--0.849757  val/test_acc--0.802920
272 : loss--0.360803 train_acc--0.875608  val/test_acc--0.812652
273 : loss--0.364424 train_acc--0.876521  val/test_acc--0.815085
274 : loss--0.363911 train_acc--0.842153  val/test_acc--0.776156
275 : loss--0.344440 train_acc--0.873783  val/test_acc--0.788321
276 : loss--0.346676 train_acc--0.871959  val/test_acc--0.788321
277 : loss--0.361747 train_acc--0.867397  val/test_acc--0.795620
278 : loss--0.348533 train_acc--0.867701  val/test_acc--0.802920
279 : loss--0.364350 train_acc--0.864964  val/test_acc--0.798054
280 : loss--0.331450 train_acc--0.857056  val/test_acc--0.805353
281 : loss--0.362352 train_acc--0.843674  val/test_acc--0.776156
282 : loss--0.334673 train_acc--0.875608  val/test_acc--0.793187
283 : loss--0.355884 train_acc--0.849148  val/test_acc--0.783455
284 : loss--0.323931 train_acc--0.871350  val/test_acc--0.800487
285 : loss--0.359624 train_acc--0.854927  val/test_acc--0.776156
286 : loss--0.333127 train_acc--0.874696  val/test_acc--0.798054
287 : loss--0.347129 train_acc--0.875000  val/test_acc--0.795620
288 : loss--0.353710 train_acc--0.843066  val/test_acc--0.768856
289 : loss--0.342789 train_acc--0.874392  val/test_acc--0.790754
290 : loss--0.356900 train_acc--0.881995  val/test_acc--0.800487
291 : loss--0.383483 train_acc--0.873479  val/test_acc--0.798054
292 : loss--0.372956 train_acc--0.867397  val/test_acc--0.790754
293 : loss--0.354256 train_acc--0.856448  val/test_acc--0.785888
294 : loss--0.365271 train_acc--0.876825  val/test_acc--0.793187
295 : loss--0.325373 train_acc--0.876521  val/test_acc--0.793187
296 : loss--0.337350 train_acc--0.863443  val/test_acc--0.790754
297 : loss--0.345915 train_acc--0.869221  val/test_acc--0.802920
298 : loss--0.317390 train_acc--0.863139  val/test_acc--0.781022
299 : loss--0.337759 train_acc--0.865268  val/test_acc--0.783455
300 : loss--0.337086 train_acc--0.880170  val/test_acc--0.790754
301 : loss--0.343321 train_acc--0.881387  val/test_acc--0.800487
302 : loss--0.354005 train_acc--0.864964  val/test_acc--0.805353
303 : loss--0.326572 train_acc--0.875608  val/test_acc--0.802920
304 : loss--0.342234 train_acc--0.872871  val/test_acc--0.785888
305 : loss--0.349544 train_acc--0.882908  val/test_acc--0.795620
306 : loss--0.320880 train_acc--0.874392  val/test_acc--0.798054
307 : loss--0.341504 train_acc--0.884124  val/test_acc--0.810219
308 : loss--0.342723 train_acc--0.877737  val/test_acc--0.798054
309 : loss--0.342675 train_acc--0.870742  val/test_acc--0.785888
310 : loss--0.335636 train_acc--0.871046  val/test_acc--0.788321
311 : loss--0.334375 train_acc--0.887165  val/test_acc--0.795620
312 : loss--0.348022 train_acc--0.856752  val/test_acc--0.795620
313 : loss--0.319483 train_acc--0.882908  val/test_acc--0.805353
314 : loss--0.363875 train_acc--0.850365  val/test_acc--0.783455
315 : loss--0.370153 train_acc--0.882908  val/test_acc--0.802920
316 : loss--0.342085 train_acc--0.868917  val/test_acc--0.790754
317 : loss--0.328275 train_acc--0.872263  val/test_acc--0.785888
318 : loss--0.312190 train_acc--0.880779  val/test_acc--0.812652
319 : loss--0.343857 train_acc--0.884428  val/test_acc--0.800487
320 : loss--0.334785 train_acc--0.880779  val/test_acc--0.790754
321 : loss--0.326921 train_acc--0.884124  val/test_acc--0.805353
322 : loss--0.325910 train_acc--0.889599  val/test_acc--0.802920
323 : loss--0.326990 train_acc--0.898723  val/test_acc--0.802920
324 : loss--0.315349 train_acc--0.870134  val/test_acc--0.793187
325 : loss--0.332796 train_acc--0.869830  val/test_acc--0.781022
326 : loss--0.339121 train_acc--0.872263  val/test_acc--0.795620
327 : loss--0.336707 train_acc--0.873479  val/test_acc--0.781022
328 : loss--0.303121 train_acc--0.875000  val/test_acc--0.781022
329 : loss--0.339630 train_acc--0.885036  val/test_acc--0.788321
330 : loss--0.353839 train_acc--0.866484  val/test_acc--0.785888
331 : loss--0.297779 train_acc--0.883212  val/test_acc--0.783455
332 : loss--0.338500 train_acc--0.885645  val/test_acc--0.790754
333 : loss--0.325272 train_acc--0.890511  val/test_acc--0.790754
334 : loss--0.350022 train_acc--0.881083  val/test_acc--0.793187
335 : loss--0.352626 train_acc--0.860401  val/test_acc--0.766423
336 : loss--0.319839 train_acc--0.882908  val/test_acc--0.795620
337 : loss--0.336720 train_acc--0.865572  val/test_acc--0.778589
338 : loss--0.321639 train_acc--0.883516  val/test_acc--0.788321
339 : loss--0.349234 train_acc--0.858273  val/test_acc--0.783455
340 : loss--0.358082 train_acc--0.884124  val/test_acc--0.798054
341 : loss--0.322620 train_acc--0.877737  val/test_acc--0.783455
342 : loss--0.336813 train_acc--0.867092  val/test_acc--0.776156
343 : loss--0.321670 train_acc--0.874392  val/test_acc--0.768856
344 : loss--0.326830 train_acc--0.868309  val/test_acc--0.785888
345 : loss--0.324762 train_acc--0.880170  val/test_acc--0.778589
346 : loss--0.298176 train_acc--0.886557  val/test_acc--0.798054
347 : loss--0.313361 train_acc--0.872263  val/test_acc--0.783455
348 : loss--0.335456 train_acc--0.842457  val/test_acc--0.756691
349 : loss--0.341672 train_acc--0.883516  val/test_acc--0.785888
350 : loss--0.320055 train_acc--0.891727  val/test_acc--0.795620
351 : loss--0.329673 train_acc--0.882299  val/test_acc--0.781022
352 : loss--0.316766 train_acc--0.887470  val/test_acc--0.795620
353 : loss--0.305583 train_acc--0.876217  val/test_acc--0.773723
354 : loss--0.322991 train_acc--0.889294  val/test_acc--0.798054
355 : loss--0.326898 train_acc--0.857968  val/test_acc--0.776156
356 : loss--0.313848 train_acc--0.864051  val/test_acc--0.768856
357 : loss--0.317616 train_acc--0.875912  val/test_acc--0.773723
358 : loss--0.333249 train_acc--0.854319  val/test_acc--0.761557
359 : loss--0.337041 train_acc--0.880474  val/test_acc--0.778589
360 : loss--0.316976 train_acc--0.882603  val/test_acc--0.788321
361 : loss--0.304545 train_acc--0.885341  val/test_acc--0.788321
362 : loss--0.321411 train_acc--0.889599  val/test_acc--0.788321
363 : loss--0.353655 train_acc--0.881691  val/test_acc--0.785888
364 : loss--0.331125 train_acc--0.888078  val/test_acc--0.793187
365 : loss--0.319541 train_acc--0.889294  val/test_acc--0.790754
366 : loss--0.322876 train_acc--0.878345  val/test_acc--0.781022
367 : loss--0.322595 train_acc--0.874696  val/test_acc--0.773723
368 : loss--0.320821 train_acc--0.893248  val/test_acc--0.798054
369 : loss--0.338461 train_acc--0.878650  val/test_acc--0.773723
370 : loss--0.278307 train_acc--0.881691  val/test_acc--0.778589
371 : loss--0.321579 train_acc--0.884428  val/test_acc--0.793187
372 : loss--0.320838 train_acc--0.862835  val/test_acc--0.773723
373 : loss--0.330764 train_acc--0.891423  val/test_acc--0.793187
374 : loss--0.314795 train_acc--0.888382  val/test_acc--0.802920
375 : loss--0.306012 train_acc--0.900547  val/test_acc--0.785888
376 : loss--0.329592 train_acc--0.877737  val/test_acc--0.783455
377 : loss--0.339676 train_acc--0.890511  val/test_acc--0.795620
378 : loss--0.316613 train_acc--0.869830  val/test_acc--0.785888
379 : loss--0.314303 train_acc--0.892944  val/test_acc--0.802920
380 : loss--0.307958 train_acc--0.861010  val/test_acc--0.768856
381 : loss--0.312544 train_acc--0.876825  val/test_acc--0.781022
382 : loss--0.299256 train_acc--0.872567  val/test_acc--0.798054
383 : loss--0.324727 train_acc--0.882299  val/test_acc--0.795620
384 : loss--0.323776 train_acc--0.868917  val/test_acc--0.781022
385 : loss--0.317408 train_acc--0.888382  val/test_acc--0.785888
386 : loss--0.338001 train_acc--0.886861  val/test_acc--0.790754
387 : loss--0.330882 train_acc--0.892640  val/test_acc--0.783455
388 : loss--0.309767 train_acc--0.903285  val/test_acc--0.790754
389 : loss--0.321667 train_acc--0.884124  val/test_acc--0.798054
390 : loss--0.327548 train_acc--0.873175  val/test_acc--0.768856
391 : loss--0.313070 train_acc--0.884428  val/test_acc--0.771290
392 : loss--0.311460 train_acc--0.867092  val/test_acc--0.778589
393 : loss--0.303822 train_acc--0.881387  val/test_acc--0.778589
394 : loss--0.304335 train_acc--0.897202  val/test_acc--0.781022
395 : loss--0.328410 train_acc--0.878650  val/test_acc--0.781022
396 : loss--0.315543 train_acc--0.897810  val/test_acc--0.778589
397 : loss--0.316272 train_acc--0.862835  val/test_acc--0.785888
398 : loss--0.296771 train_acc--0.906934  val/test_acc--0.793187
399 : loss--0.314214 train_acc--0.884732  val/test_acc--0.790754
400 : loss--0.325661 train_acc--0.881995  val/test_acc--0.793187
