1 : loss--86.291228 train_acc--0.509732  val/test_acc--0.506083
2 : loss--83.272797 train_acc--0.548358  val/test_acc--0.535280
3 : loss--9.745455 train_acc--0.709550  val/test_acc--0.656934
4 : loss--13.562217 train_acc--0.659976  val/test_acc--0.647202
5 : loss--11.144615 train_acc--0.678224  val/test_acc--0.683698
6 : loss--9.560626 train_acc--0.639294  val/test_acc--0.600973
7 : loss--10.237456 train_acc--0.680961  val/test_acc--0.659367
8 : loss--6.229541 train_acc--0.634428  val/test_acc--0.639903
9 : loss--4.748429 train_acc--0.697384  val/test_acc--0.669100
10 : loss--4.526026 train_acc--0.599148  val/test_acc--0.600973
11 : loss--2.934423 train_acc--0.519465  val/test_acc--0.503650
12 : loss--3.954675 train_acc--0.691606  val/test_acc--0.666667
13 : loss--3.559390 train_acc--0.707725  val/test_acc--0.661800
14 : loss--5.596744 train_acc--0.666058  val/test_acc--0.618005
15 : loss--2.747914 train_acc--0.731144  val/test_acc--0.683698
16 : loss--1.855005 train_acc--0.705900  val/test_acc--0.676399
17 : loss--1.858423 train_acc--0.704988  val/test_acc--0.669100
18 : loss--2.467158 train_acc--0.700122  val/test_acc--0.666667
19 : loss--2.624017 train_acc--0.689173  val/test_acc--0.669100
20 : loss--1.454088 train_acc--0.671533  val/test_acc--0.647202
21 : loss--1.942432 train_acc--0.689173  val/test_acc--0.649635
22 : loss--1.349843 train_acc--0.672749  val/test_acc--0.622871
23 : loss--1.586153 train_acc--0.688564  val/test_acc--0.664234
24 : loss--1.090524 train_acc--0.707421  val/test_acc--0.661800
25 : loss--1.690745 train_acc--0.659063  val/test_acc--0.603406
26 : loss--1.362964 train_acc--0.704380  val/test_acc--0.683698
27 : loss--1.967813 train_acc--0.661192  val/test_acc--0.656934
28 : loss--1.090442 train_acc--0.707117  val/test_acc--0.676399
29 : loss--1.163532 train_acc--0.684915  val/test_acc--0.656934
30 : loss--1.822829 train_acc--0.725061  val/test_acc--0.690998
31 : loss--1.551011 train_acc--0.728102  val/test_acc--0.695864
32 : loss--0.951460 train_acc--0.676703  val/test_acc--0.656934
33 : loss--1.069471 train_acc--0.717762  val/test_acc--0.690998
34 : loss--1.480430 train_acc--0.712895  val/test_acc--0.678832
35 : loss--1.257934 train_acc--0.690998  val/test_acc--0.671533
36 : loss--1.076035 train_acc--0.722324  val/test_acc--0.669100
37 : loss--1.101460 train_acc--0.683090  val/test_acc--0.644769
38 : loss--0.954883 train_acc--0.734793  val/test_acc--0.705596
39 : loss--1.326682 train_acc--0.739051  val/test_acc--0.720195
40 : loss--1.059173 train_acc--0.659976  val/test_acc--0.610706
41 : loss--0.780567 train_acc--0.737530  val/test_acc--0.715328
42 : loss--0.848803 train_acc--0.682786  val/test_acc--0.664234
43 : loss--0.896888 train_acc--0.708333  val/test_acc--0.666667
44 : loss--1.033955 train_acc--0.665450  val/test_acc--0.630170
45 : loss--0.791121 train_acc--0.730839  val/test_acc--0.693431
46 : loss--0.718470 train_acc--0.741180  val/test_acc--0.688564
47 : loss--0.742354 train_acc--0.614964  val/test_acc--0.605839
48 : loss--0.733291 train_acc--0.690693  val/test_acc--0.673966
49 : loss--0.793353 train_acc--0.740876  val/test_acc--0.717762
50 : loss--0.763527 train_acc--0.730535  val/test_acc--0.690998
51 : loss--0.679362 train_acc--0.742397  val/test_acc--0.715328
52 : loss--0.639925 train_acc--0.753954  val/test_acc--0.732360
53 : loss--0.610604 train_acc--0.720195  val/test_acc--0.681265
54 : loss--0.591150 train_acc--0.754866  val/test_acc--0.717762
55 : loss--0.568223 train_acc--0.750304  val/test_acc--0.720195
56 : loss--0.657993 train_acc--0.750608  val/test_acc--0.703163
57 : loss--0.591998 train_acc--0.753650  val/test_acc--0.710462
58 : loss--0.572479 train_acc--0.748175  val/test_acc--0.739659
59 : loss--0.666392 train_acc--0.749392  val/test_acc--0.715328
60 : loss--0.640290 train_acc--0.749088  val/test_acc--0.705596
61 : loss--0.614996 train_acc--0.748175  val/test_acc--0.715328
62 : loss--0.605461 train_acc--0.753650  val/test_acc--0.720195
63 : loss--0.567191 train_acc--0.720499  val/test_acc--0.664234
64 : loss--0.626919 train_acc--0.712591  val/test_acc--0.683698
65 : loss--0.608521 train_acc--0.749696  val/test_acc--0.710462
66 : loss--0.604543 train_acc--0.750912  val/test_acc--0.712895
67 : loss--0.562027 train_acc--0.737530  val/test_acc--0.688564
68 : loss--0.574883 train_acc--0.746350  val/test_acc--0.703163
69 : loss--0.531630 train_acc--0.727798  val/test_acc--0.688564
70 : loss--0.577747 train_acc--0.734793  val/test_acc--0.686131
71 : loss--0.614554 train_acc--0.735401  val/test_acc--0.678832
72 : loss--0.561612 train_acc--0.761557  val/test_acc--0.734793
73 : loss--0.554001 train_acc--0.736618  val/test_acc--0.690998
74 : loss--0.520164 train_acc--0.734185  val/test_acc--0.676399
75 : loss--0.552997 train_acc--0.757908  val/test_acc--0.727494
76 : loss--0.555661 train_acc--0.754866  val/test_acc--0.729927
77 : loss--0.587058 train_acc--0.759428  val/test_acc--0.722628
78 : loss--0.583282 train_acc--0.737835  val/test_acc--0.683698
79 : loss--0.550907 train_acc--0.760341  val/test_acc--0.727494
80 : loss--0.555978 train_acc--0.755170  val/test_acc--0.720195
81 : loss--0.582532 train_acc--0.729319  val/test_acc--0.688564
82 : loss--0.584901 train_acc--0.738139  val/test_acc--0.695864
83 : loss--0.517500 train_acc--0.752129  val/test_acc--0.734793
84 : loss--0.531458 train_acc--0.756691  val/test_acc--0.705596
85 : loss--0.533252 train_acc--0.761253  val/test_acc--0.727494
86 : loss--0.530063 train_acc--0.686131  val/test_acc--0.649635
87 : loss--0.580122 train_acc--0.758516  val/test_acc--0.732360
88 : loss--0.524918 train_acc--0.756083  val/test_acc--0.727494
89 : loss--0.581016 train_acc--0.766727  val/test_acc--0.715328
90 : loss--0.523372 train_acc--0.765815  val/test_acc--0.720195
91 : loss--0.574582 train_acc--0.745438  val/test_acc--0.693431
92 : loss--0.565817 train_acc--0.765207  val/test_acc--0.734793
93 : loss--0.523051 train_acc--0.766423  val/test_acc--0.739659
94 : loss--0.555685 train_acc--0.752737  val/test_acc--0.727494
95 : loss--0.534967 train_acc--0.757603  val/test_acc--0.729927
96 : loss--0.646881 train_acc--0.752433  val/test_acc--0.729927
97 : loss--0.674664 train_acc--0.746959  val/test_acc--0.703163
98 : loss--0.570790 train_acc--0.752433  val/test_acc--0.739659
99 : loss--0.582796 train_acc--0.746655  val/test_acc--0.717762
100 : loss--0.535666 train_acc--0.735097  val/test_acc--0.708029
101 : loss--0.533911 train_acc--0.777372  val/test_acc--0.727494
102 : loss--0.502207 train_acc--0.773418  val/test_acc--0.751825
103 : loss--0.499184 train_acc--0.775852  val/test_acc--0.737226
104 : loss--0.506665 train_acc--0.766119  val/test_acc--0.703163
105 : loss--0.519138 train_acc--0.780718  val/test_acc--0.722628
106 : loss--0.482225 train_acc--0.778285  val/test_acc--0.742092
107 : loss--0.498458 train_acc--0.779501  val/test_acc--0.756691
108 : loss--0.506930 train_acc--0.778589  val/test_acc--0.749392
109 : loss--0.510875 train_acc--0.783759  val/test_acc--0.751825
110 : loss--0.518733 train_acc--0.786496  val/test_acc--0.744526
111 : loss--0.526476 train_acc--0.786800  val/test_acc--0.751825
112 : loss--0.492396 train_acc--0.765511  val/test_acc--0.761557
113 : loss--0.502830 train_acc--0.774939  val/test_acc--0.756691
114 : loss--0.496463 train_acc--0.768552  val/test_acc--0.729927
115 : loss--0.509812 train_acc--0.772202  val/test_acc--0.759124
116 : loss--0.473814 train_acc--0.781934  val/test_acc--0.768856
117 : loss--0.489999 train_acc--0.773418  val/test_acc--0.754258
118 : loss--0.490429 train_acc--0.785584  val/test_acc--0.746959
119 : loss--0.467811 train_acc--0.791971  val/test_acc--0.773723
120 : loss--0.522656 train_acc--0.785888  val/test_acc--0.756691
121 : loss--0.478612 train_acc--0.784063  val/test_acc--0.756691
122 : loss--0.485400 train_acc--0.774331  val/test_acc--0.749392
123 : loss--0.483885 train_acc--0.789538  val/test_acc--0.766423
124 : loss--0.489825 train_acc--0.788321  val/test_acc--0.763990
125 : loss--0.470917 train_acc--0.805049  val/test_acc--0.781022
126 : loss--0.480069 train_acc--0.788017  val/test_acc--0.771290
127 : loss--0.491500 train_acc--0.786800  val/test_acc--0.739659
128 : loss--0.504692 train_acc--0.778893  val/test_acc--0.742092
129 : loss--0.497823 train_acc--0.788321  val/test_acc--0.756691
130 : loss--0.506930 train_acc--0.776460  val/test_acc--0.759124
131 : loss--0.505833 train_acc--0.762470  val/test_acc--0.725061
132 : loss--0.479507 train_acc--0.774027  val/test_acc--0.744526
133 : loss--0.495030 train_acc--0.798054  val/test_acc--0.776156
134 : loss--0.471685 train_acc--0.792275  val/test_acc--0.766423
135 : loss--0.498426 train_acc--0.791667  val/test_acc--0.749392
136 : loss--0.471529 train_acc--0.798358  val/test_acc--0.768856
137 : loss--0.466843 train_acc--0.777372  val/test_acc--0.771290
138 : loss--0.488694 train_acc--0.779197  val/test_acc--0.717762
139 : loss--0.487473 train_acc--0.792275  val/test_acc--0.744526
140 : loss--0.507075 train_acc--0.782238  val/test_acc--0.759124
141 : loss--0.493176 train_acc--0.792275  val/test_acc--0.759124
142 : loss--0.466873 train_acc--0.791058  val/test_acc--0.746959
143 : loss--0.468237 train_acc--0.784672  val/test_acc--0.749392
144 : loss--0.510795 train_acc--0.776460  val/test_acc--0.754258
145 : loss--0.480991 train_acc--0.804745  val/test_acc--0.763990
146 : loss--0.478086 train_acc--0.783151  val/test_acc--0.746959
147 : loss--0.483335 train_acc--0.788017  val/test_acc--0.756691
148 : loss--0.482983 train_acc--0.806873  val/test_acc--0.771290
149 : loss--0.465904 train_acc--0.800487  val/test_acc--0.761557
150 : loss--0.463050 train_acc--0.794404  val/test_acc--0.759124
151 : loss--0.429241 train_acc--0.807786  val/test_acc--0.768856
152 : loss--0.451595 train_acc--0.807482  val/test_acc--0.756691
153 : loss--0.471899 train_acc--0.795316  val/test_acc--0.749392
154 : loss--0.459497 train_acc--0.828467  val/test_acc--0.771290
155 : loss--0.446887 train_acc--0.822384  val/test_acc--0.778589
156 : loss--0.438981 train_acc--0.810219  val/test_acc--0.768856
157 : loss--0.442464 train_acc--0.816606  val/test_acc--0.771290
158 : loss--0.441346 train_acc--0.808394  val/test_acc--0.756691
159 : loss--0.448258 train_acc--0.812044  val/test_acc--0.766423
160 : loss--0.451293 train_acc--0.808394  val/test_acc--0.759124
161 : loss--0.435748 train_acc--0.810219  val/test_acc--0.756691
162 : loss--0.414372 train_acc--0.822080  val/test_acc--0.776156
163 : loss--0.430974 train_acc--0.823601  val/test_acc--0.766423
164 : loss--0.451076 train_acc--0.799270  val/test_acc--0.761557
165 : loss--0.446408 train_acc--0.821776  val/test_acc--0.793187
166 : loss--0.418097 train_acc--0.830292  val/test_acc--0.790754
