1 : loss--104.985180 train_acc--0.519769  val/test_acc--0.506083
2 : loss--45.102006 train_acc--0.553832  val/test_acc--0.520681
3 : loss--48.587562 train_acc--0.654501  val/test_acc--0.649635
4 : loss--30.345005 train_acc--0.573601  val/test_acc--0.552311
5 : loss--15.137226 train_acc--0.702859  val/test_acc--0.700730
6 : loss--8.549294 train_acc--0.692214  val/test_acc--0.676399
7 : loss--9.049355 train_acc--0.664234  val/test_acc--0.678832
8 : loss--7.148107 train_acc--0.653589  val/test_acc--0.656934
9 : loss--6.615327 train_acc--0.637774  val/test_acc--0.652068
10 : loss--6.995786 train_acc--0.547141  val/test_acc--0.527981
11 : loss--5.079993 train_acc--0.648418  val/test_acc--0.656934
12 : loss--4.445891 train_acc--0.590024  val/test_acc--0.586375
13 : loss--3.928652 train_acc--0.606144  val/test_acc--0.613139
14 : loss--2.987355 train_acc--0.718066  val/test_acc--0.708029
15 : loss--2.458141 train_acc--0.660888  val/test_acc--0.669100
16 : loss--2.030605 train_acc--0.673662  val/test_acc--0.673966
17 : loss--1.619498 train_acc--0.701946  val/test_acc--0.686131
18 : loss--2.207522 train_acc--0.705900  val/test_acc--0.715328
19 : loss--1.655126 train_acc--0.701642  val/test_acc--0.698297
20 : loss--1.332408 train_acc--0.684915  val/test_acc--0.654501
21 : loss--1.817381 train_acc--0.639599  val/test_acc--0.608273
22 : loss--1.565804 train_acc--0.618613  val/test_acc--0.613139
23 : loss--1.593778 train_acc--0.638686  val/test_acc--0.639903
24 : loss--1.402345 train_acc--0.689173  val/test_acc--0.703163
25 : loss--1.688127 train_acc--0.691302  val/test_acc--0.708029
26 : loss--1.339997 train_acc--0.710462  val/test_acc--0.708029
27 : loss--1.695457 train_acc--0.694951  val/test_acc--0.683698
28 : loss--1.059775 train_acc--0.731144  val/test_acc--0.725061
29 : loss--1.055381 train_acc--0.659976  val/test_acc--0.652068
30 : loss--1.273084 train_acc--0.723540  val/test_acc--0.720195
31 : loss--0.959578 train_acc--0.693735  val/test_acc--0.652068
32 : loss--1.053141 train_acc--0.693127  val/test_acc--0.708029
33 : loss--0.930111 train_acc--0.707421  val/test_acc--0.712895
34 : loss--1.218125 train_acc--0.708029  val/test_acc--0.712895
35 : loss--1.023371 train_acc--0.736618  val/test_acc--0.742092
36 : loss--1.219929 train_acc--0.702251  val/test_acc--0.703163
37 : loss--1.188187 train_acc--0.733881  val/test_acc--0.742092
38 : loss--0.801698 train_acc--0.719586  val/test_acc--0.727494
39 : loss--0.979375 train_acc--0.691606  val/test_acc--0.659367
