1 : loss--122.824476 train_acc--0.600061  val/test_acc--0.591241
2 : loss--29.451995 train_acc--0.578467  val/test_acc--0.581509
3 : loss--24.736362 train_acc--0.623175  val/test_acc--0.647202
4 : loss--32.597388 train_acc--0.549878  val/test_acc--0.549878
5 : loss--9.736206 train_acc--0.652372  val/test_acc--0.671533
6 : loss--5.280942 train_acc--0.682178  val/test_acc--0.703163
7 : loss--10.712883 train_acc--0.649027  val/test_acc--0.615572
8 : loss--7.476033 train_acc--0.689173  val/test_acc--0.656934
9 : loss--4.755045 train_acc--0.667883  val/test_acc--0.676399
10 : loss--7.026693 train_acc--0.681265  val/test_acc--0.710462
11 : loss--3.244692 train_acc--0.713504  val/test_acc--0.688564
12 : loss--1.949322 train_acc--0.616484  val/test_acc--0.656934
13 : loss--3.717485 train_acc--0.703771  val/test_acc--0.705596
14 : loss--3.342000 train_acc--0.672141  val/test_acc--0.673966
15 : loss--2.940945 train_acc--0.656934  val/test_acc--0.654501
16 : loss--2.710669 train_acc--0.734793  val/test_acc--0.715328
17 : loss--1.659942 train_acc--0.705900  val/test_acc--0.698297
18 : loss--2.700604 train_acc--0.711983  val/test_acc--0.705596
19 : loss--2.889888 train_acc--0.639903  val/test_acc--0.630170
20 : loss--2.331073 train_acc--0.642640  val/test_acc--0.664234
21 : loss--1.865541 train_acc--0.590328  val/test_acc--0.603406
22 : loss--1.196128 train_acc--0.606448  val/test_acc--0.625304
23 : loss--1.987333 train_acc--0.688260  val/test_acc--0.669100
24 : loss--1.717918 train_acc--0.696472  val/test_acc--0.693431
25 : loss--1.644720 train_acc--0.684915  val/test_acc--0.669100
26 : loss--2.238819 train_acc--0.673358  val/test_acc--0.673966
27 : loss--1.420030 train_acc--0.655718  val/test_acc--0.666667
28 : loss--1.386195 train_acc--0.686436  val/test_acc--0.703163
29 : loss--1.668633 train_acc--0.627433  val/test_acc--0.630170
30 : loss--1.695321 train_acc--0.710462  val/test_acc--0.715328
31 : loss--0.812320 train_acc--0.721411  val/test_acc--0.720195
32 : loss--1.056755 train_acc--0.704075  val/test_acc--0.686131
33 : loss--0.982936 train_acc--0.723236  val/test_acc--0.727494
34 : loss--1.090128 train_acc--0.691302  val/test_acc--0.708029
35 : loss--1.496398 train_acc--0.700730  val/test_acc--0.703163
36 : loss--1.708512 train_acc--0.732056  val/test_acc--0.729927
37 : loss--1.108665 train_acc--0.712895  val/test_acc--0.700730
38 : loss--0.898809 train_acc--0.593066  val/test_acc--0.603406
39 : loss--1.092438 train_acc--0.736618  val/test_acc--0.722628
40 : loss--0.962209 train_acc--0.658759  val/test_acc--0.664234
41 : loss--1.023078 train_acc--0.721715  val/test_acc--0.698297
42 : loss--0.720248 train_acc--0.726277  val/test_acc--0.732360
43 : loss--0.885807 train_acc--0.737530  val/test_acc--0.722628
44 : loss--0.816897 train_acc--0.694343  val/test_acc--0.690998
45 : loss--1.080495 train_acc--0.709246  val/test_acc--0.695864
46 : loss--0.899855 train_acc--0.699209  val/test_acc--0.690998
47 : loss--0.816031 train_acc--0.737226  val/test_acc--0.708029
48 : loss--0.885539 train_acc--0.736010  val/test_acc--0.710462
49 : loss--0.658465 train_acc--0.729623  val/test_acc--0.732360
50 : loss--0.597954 train_acc--0.739355  val/test_acc--0.705596
51 : loss--0.631896 train_acc--0.735401  val/test_acc--0.717762
52 : loss--0.573559 train_acc--0.699513  val/test_acc--0.708029
53 : loss--0.606604 train_acc--0.743309  val/test_acc--0.720195
54 : loss--0.675320 train_acc--0.752737  val/test_acc--0.715328
55 : loss--0.660670 train_acc--0.746046  val/test_acc--0.720195
56 : loss--0.692037 train_acc--0.740572  val/test_acc--0.715328
57 : loss--0.765018 train_acc--0.712591  val/test_acc--0.700730
58 : loss--0.625376 train_acc--0.728710  val/test_acc--0.710462
59 : loss--0.668784 train_acc--0.749696  val/test_acc--0.727494
60 : loss--0.666853 train_acc--0.756083  val/test_acc--0.727494
61 : loss--0.647769 train_acc--0.749392  val/test_acc--0.722628
62 : loss--0.619695 train_acc--0.744221  val/test_acc--0.705596
63 : loss--0.669659 train_acc--0.749392  val/test_acc--0.705596
64 : loss--0.622603 train_acc--0.711375  val/test_acc--0.673966
65 : loss--0.636796 train_acc--0.704380  val/test_acc--0.717762
66 : loss--0.613318 train_acc--0.761861  val/test_acc--0.715328
67 : loss--0.636372 train_acc--0.756083  val/test_acc--0.717762
68 : loss--0.776830 train_acc--0.673358  val/test_acc--0.669100
69 : loss--0.679918 train_acc--0.737530  val/test_acc--0.700730
70 : loss--0.633852 train_acc--0.724453  val/test_acc--0.690998
71 : loss--0.597686 train_acc--0.753650  val/test_acc--0.737226
72 : loss--0.612026 train_acc--0.732360  val/test_acc--0.710462
73 : loss--0.858391 train_acc--0.687044  val/test_acc--0.686131
74 : loss--0.594413 train_acc--0.754258  val/test_acc--0.712895
75 : loss--0.567871 train_acc--0.754562  val/test_acc--0.734793
76 : loss--0.642179 train_acc--0.749696  val/test_acc--0.715328
77 : loss--0.642292 train_acc--0.765815  val/test_acc--0.729927
78 : loss--0.614784 train_acc--0.769161  val/test_acc--0.751825
79 : loss--0.641762 train_acc--0.767336  val/test_acc--0.729927
80 : loss--0.574708 train_acc--0.759428  val/test_acc--0.729927
81 : loss--0.731404 train_acc--0.771290  val/test_acc--0.751825
82 : loss--0.570119 train_acc--0.721107  val/test_acc--0.705596
83 : loss--0.589815 train_acc--0.758516  val/test_acc--0.717762
84 : loss--0.591381 train_acc--0.770681  val/test_acc--0.734793
