1 : loss--160.387477 train_acc--0.573601  val/test_acc--0.530414
2 : loss--62.756333 train_acc--0.613139  val/test_acc--0.559611
3 : loss--35.060529 train_acc--0.610401  val/test_acc--0.598540
4 : loss--40.079931 train_acc--0.626217  val/test_acc--0.586375
5 : loss--24.072231 train_acc--0.668796  val/test_acc--0.632603
6 : loss--14.014354 train_acc--0.627433  val/test_acc--0.593674
7 : loss--9.501431 train_acc--0.696168  val/test_acc--0.666667
8 : loss--7.039069 train_acc--0.717153  val/test_acc--0.683698
9 : loss--4.787218 train_acc--0.653589  val/test_acc--0.644769
10 : loss--3.002163 train_acc--0.588200  val/test_acc--0.569343
11 : loss--3.964189 train_acc--0.649939  val/test_acc--0.635036
12 : loss--3.132314 train_acc--0.611618  val/test_acc--0.583942
13 : loss--2.820212 train_acc--0.606144  val/test_acc--0.593674
14 : loss--3.319056 train_acc--0.612530  val/test_acc--0.603406
15 : loss--3.101732 train_acc--0.690998  val/test_acc--0.635036
16 : loss--4.346925 train_acc--0.705900  val/test_acc--0.669100
17 : loss--1.885432 train_acc--0.716849  val/test_acc--0.700730
18 : loss--1.976098 train_acc--0.550182  val/test_acc--0.559611
19 : loss--2.041045 train_acc--0.701034  val/test_acc--0.686131
20 : loss--2.117936 train_acc--0.679745  val/test_acc--0.635036
21 : loss--2.078882 train_acc--0.619830  val/test_acc--0.603406
22 : loss--1.985100 train_acc--0.582421  val/test_acc--0.583942
23 : loss--1.641996 train_acc--0.639599  val/test_acc--0.622871
24 : loss--1.195504 train_acc--0.704988  val/test_acc--0.708029
25 : loss--1.387016 train_acc--0.696776  val/test_acc--0.681265
26 : loss--1.387226 train_acc--0.722932  val/test_acc--0.708029
27 : loss--1.031068 train_acc--0.729623  val/test_acc--0.708029
28 : loss--1.359231 train_acc--0.715633  val/test_acc--0.690998
29 : loss--1.405447 train_acc--0.708637  val/test_acc--0.666667
30 : loss--1.050534 train_acc--0.659976  val/test_acc--0.627737
31 : loss--0.789080 train_acc--0.674270  val/test_acc--0.652068
32 : loss--0.933609 train_acc--0.669100  val/test_acc--0.669100
33 : loss--1.307072 train_acc--0.704075  val/test_acc--0.708029
34 : loss--1.144320 train_acc--0.684002  val/test_acc--0.654501
35 : loss--1.138199 train_acc--0.615572  val/test_acc--0.596107
