1 : loss--97.124063 train_acc--0.599148  val/test_acc--0.574209
2 : loss--45.254246 train_acc--0.574513  val/test_acc--0.598540
3 : loss--17.756179 train_acc--0.654805  val/test_acc--0.678832
4 : loss--16.593576 train_acc--0.689173  val/test_acc--0.654501
5 : loss--15.787189 train_acc--0.524635  val/test_acc--0.523114
6 : loss--10.580257 train_acc--0.503041  val/test_acc--0.498783
7 : loss--12.555268 train_acc--0.675791  val/test_acc--0.654501
8 : loss--5.930927 train_acc--0.540450  val/test_acc--0.530414
9 : loss--6.081624 train_acc--0.608273  val/test_acc--0.605839
10 : loss--4.573916 train_acc--0.604623  val/test_acc--0.620438
11 : loss--4.796518 train_acc--0.694647  val/test_acc--0.698297
12 : loss--4.541577 train_acc--0.675487  val/test_acc--0.669100
13 : loss--3.463991 train_acc--0.703467  val/test_acc--0.705596
14 : loss--3.139406 train_acc--0.540146  val/test_acc--0.542579
15 : loss--3.311671 train_acc--0.636557  val/test_acc--0.659367
16 : loss--2.261263 train_acc--0.718066  val/test_acc--0.720195
17 : loss--1.672752 train_acc--0.708942  val/test_acc--0.705596
18 : loss--1.721141 train_acc--0.698905  val/test_acc--0.693431
19 : loss--2.370351 train_acc--0.594891  val/test_acc--0.591241
20 : loss--1.712690 train_acc--0.638686  val/test_acc--0.664234
21 : loss--1.311675 train_acc--0.734185  val/test_acc--0.751825
22 : loss--1.652991 train_acc--0.722932  val/test_acc--0.722628
23 : loss--1.716176 train_acc--0.679745  val/test_acc--0.705596
24 : loss--2.101933 train_acc--0.526460  val/test_acc--0.532847
25 : loss--1.851225 train_acc--0.726886  val/test_acc--0.746959
26 : loss--2.255164 train_acc--0.697993  val/test_acc--0.720195
27 : loss--1.395117 train_acc--0.685219  val/test_acc--0.693431
28 : loss--0.971383 train_acc--0.607968  val/test_acc--0.635036
29 : loss--1.179971 train_acc--0.673358  val/test_acc--0.712895
30 : loss--1.056626 train_acc--0.689173  val/test_acc--0.703163
31 : loss--1.117443 train_acc--0.714112  val/test_acc--0.712895
32 : loss--1.022376 train_acc--0.700426  val/test_acc--0.720195
33 : loss--0.783186 train_acc--0.662105  val/test_acc--0.673966
34 : loss--0.840630 train_acc--0.682786  val/test_acc--0.683698
35 : loss--1.001248 train_acc--0.677007  val/test_acc--0.700730
36 : loss--0.741830 train_acc--0.700122  val/test_acc--0.695864
37 : loss--0.771655 train_acc--0.693735  val/test_acc--0.710462
38 : loss--0.824297 train_acc--0.724453  val/test_acc--0.715328
39 : loss--0.892050 train_acc--0.710766  val/test_acc--0.705596
40 : loss--0.770042 train_acc--0.696168  val/test_acc--0.690998
41 : loss--0.732847 train_acc--0.677616  val/test_acc--0.661800
42 : loss--0.779976 train_acc--0.722324  val/test_acc--0.708029
43 : loss--0.715190 train_acc--0.717762  val/test_acc--0.722628
44 : loss--0.688027 train_acc--0.712895  val/test_acc--0.690998
45 : loss--0.666592 train_acc--0.734793  val/test_acc--0.725061
46 : loss--0.725966 train_acc--0.686436  val/test_acc--0.708029
47 : loss--0.721061 train_acc--0.682786  val/test_acc--0.695864
48 : loss--0.766885 train_acc--0.660888  val/test_acc--0.673966
49 : loss--0.675530 train_acc--0.714112  val/test_acc--0.725061
50 : loss--0.657355 train_acc--0.739659  val/test_acc--0.717762
51 : loss--0.578645 train_acc--0.749392  val/test_acc--0.744526
52 : loss--0.625144 train_acc--0.745134  val/test_acc--0.737226
53 : loss--0.588028 train_acc--0.745438  val/test_acc--0.734793
54 : loss--0.612208 train_acc--0.753650  val/test_acc--0.756691
55 : loss--0.574194 train_acc--0.744526  val/test_acc--0.725061
56 : loss--0.592862 train_acc--0.746959  val/test_acc--0.742092
57 : loss--0.615621 train_acc--0.727494  val/test_acc--0.742092
58 : loss--0.640843 train_acc--0.719586  val/test_acc--0.729927
59 : loss--0.612730 train_acc--0.727190  val/test_acc--0.705596
60 : loss--0.560577 train_acc--0.737226  val/test_acc--0.739659
61 : loss--0.606175 train_acc--0.725061  val/test_acc--0.708029
62 : loss--0.598506 train_acc--0.740572  val/test_acc--0.722628
63 : loss--0.602907 train_acc--0.722932  val/test_acc--0.700730
64 : loss--0.596252 train_acc--0.743005  val/test_acc--0.720195
65 : loss--0.628980 train_acc--0.754258  val/test_acc--0.749392
66 : loss--0.687891 train_acc--0.749392  val/test_acc--0.744526
67 : loss--0.589210 train_acc--0.735097  val/test_acc--0.700730
68 : loss--0.596038 train_acc--0.743309  val/test_acc--0.751825
69 : loss--0.629537 train_acc--0.762774  val/test_acc--0.763990
70 : loss--0.579172 train_acc--0.722932  val/test_acc--0.729927
71 : loss--0.614752 train_acc--0.740268  val/test_acc--0.725061
72 : loss--0.690989 train_acc--0.722324  val/test_acc--0.720195
73 : loss--0.643642 train_acc--0.747567  val/test_acc--0.754258
74 : loss--0.592719 train_acc--0.732664  val/test_acc--0.732360
75 : loss--0.616366 train_acc--0.701034  val/test_acc--0.712895
76 : loss--0.629466 train_acc--0.745134  val/test_acc--0.737226
77 : loss--0.587880 train_acc--0.720803  val/test_acc--0.717762
78 : loss--0.642442 train_acc--0.750304  val/test_acc--0.742092
79 : loss--0.648495 train_acc--0.695560  val/test_acc--0.695864
80 : loss--0.619318 train_acc--0.725973  val/test_acc--0.732360
81 : loss--0.624216 train_acc--0.726886  val/test_acc--0.751825
82 : loss--0.599651 train_acc--0.756995  val/test_acc--0.778589
83 : loss--0.599704 train_acc--0.741788  val/test_acc--0.727494
84 : loss--0.633720 train_acc--0.756387  val/test_acc--0.734793
85 : loss--0.616975 train_acc--0.702859  val/test_acc--0.715328
86 : loss--0.663517 train_acc--0.740268  val/test_acc--0.737226
87 : loss--0.645053 train_acc--0.739964  val/test_acc--0.734793
88 : loss--0.563289 train_acc--0.754866  val/test_acc--0.734793
89 : loss--0.568538 train_acc--0.761557  val/test_acc--0.761557
90 : loss--0.616376 train_acc--0.727798  val/test_acc--0.729927
91 : loss--0.625980 train_acc--0.752433  val/test_acc--0.737226
92 : loss--0.622745 train_acc--0.750608  val/test_acc--0.749392
93 : loss--0.596552 train_acc--0.706509  val/test_acc--0.732360
94 : loss--0.672146 train_acc--0.739355  val/test_acc--0.725061
95 : loss--0.588715 train_acc--0.751217  val/test_acc--0.754258
96 : loss--0.575010 train_acc--0.762165  val/test_acc--0.756691
97 : loss--0.581684 train_acc--0.762470  val/test_acc--0.759124
98 : loss--0.576880 train_acc--0.745134  val/test_acc--0.742092
99 : loss--0.558863 train_acc--0.757603  val/test_acc--0.746959
100 : loss--0.533703 train_acc--0.753041  val/test_acc--0.754258
101 : loss--0.544231 train_acc--0.763078  val/test_acc--0.737226
102 : loss--0.529549 train_acc--0.758212  val/test_acc--0.744526
103 : loss--0.558513 train_acc--0.775547  val/test_acc--0.754258
104 : loss--0.549719 train_acc--0.772202  val/test_acc--0.771290
105 : loss--0.513059 train_acc--0.773723  val/test_acc--0.749392
106 : loss--0.546498 train_acc--0.770681  val/test_acc--0.756691
107 : loss--0.540914 train_acc--0.769465  val/test_acc--0.763990
108 : loss--0.551161 train_acc--0.767032  val/test_acc--0.763990
109 : loss--0.547689 train_acc--0.761557  val/test_acc--0.759124
110 : loss--0.519861 train_acc--0.763078  val/test_acc--0.759124
111 : loss--0.530518 train_acc--0.777676  val/test_acc--0.766423
112 : loss--0.507940 train_acc--0.779501  val/test_acc--0.756691
113 : loss--0.527024 train_acc--0.742092  val/test_acc--0.739659
114 : loss--0.570209 train_acc--0.753954  val/test_acc--0.751825
115 : loss--0.548309 train_acc--0.776156  val/test_acc--0.778589
116 : loss--0.536213 train_acc--0.785584  val/test_acc--0.761557
117 : loss--0.539246 train_acc--0.764903  val/test_acc--0.751825
118 : loss--0.556129 train_acc--0.760645  val/test_acc--0.768856
119 : loss--0.563547 train_acc--0.745742  val/test_acc--0.756691
120 : loss--0.523958 train_acc--0.774939  val/test_acc--0.754258
121 : loss--0.502852 train_acc--0.751217  val/test_acc--0.751825
122 : loss--0.513846 train_acc--0.793491  val/test_acc--0.766423
123 : loss--0.513939 train_acc--0.759428  val/test_acc--0.739659
124 : loss--0.520356 train_acc--0.786800  val/test_acc--0.744526
125 : loss--0.511369 train_acc--0.779805  val/test_acc--0.742092
126 : loss--0.532538 train_acc--0.792579  val/test_acc--0.778589
127 : loss--0.521706 train_acc--0.787409  val/test_acc--0.766423
128 : loss--0.528262 train_acc--0.760341  val/test_acc--0.756691
129 : loss--0.509236 train_acc--0.799574  val/test_acc--0.759124
130 : loss--0.492330 train_acc--0.788321  val/test_acc--0.751825
131 : loss--0.506316 train_acc--0.799270  val/test_acc--0.783455
132 : loss--0.503765 train_acc--0.780414  val/test_acc--0.759124
133 : loss--0.506216 train_acc--0.802311  val/test_acc--0.776156
134 : loss--0.522891 train_acc--0.777068  val/test_acc--0.754258
135 : loss--0.529025 train_acc--0.772202  val/test_acc--0.761557
136 : loss--0.555884 train_acc--0.773723  val/test_acc--0.751825
137 : loss--0.505990 train_acc--0.784063  val/test_acc--0.773723
138 : loss--0.543970 train_acc--0.768552  val/test_acc--0.756691
139 : loss--0.509494 train_acc--0.785888  val/test_acc--0.776156
140 : loss--0.506215 train_acc--0.795925  val/test_acc--0.788321
141 : loss--0.493859 train_acc--0.798358  val/test_acc--0.778589
142 : loss--0.517817 train_acc--0.798358  val/test_acc--0.766423
143 : loss--0.505726 train_acc--0.801095  val/test_acc--0.785888
144 : loss--0.495551 train_acc--0.797749  val/test_acc--0.781022
145 : loss--0.488731 train_acc--0.791667  val/test_acc--0.776156
146 : loss--0.499619 train_acc--0.802920  val/test_acc--0.785888
147 : loss--0.486063 train_acc--0.803528  val/test_acc--0.802920
148 : loss--0.505100 train_acc--0.795925  val/test_acc--0.771290
149 : loss--0.514028 train_acc--0.798054  val/test_acc--0.778589
150 : loss--0.469736 train_acc--0.794708  val/test_acc--0.783455
151 : loss--0.461159 train_acc--0.802920  val/test_acc--0.798054
152 : loss--0.425921 train_acc--0.819039  val/test_acc--0.800487
153 : loss--0.476895 train_acc--0.813869  val/test_acc--0.788321
154 : loss--0.461430 train_acc--0.809307  val/test_acc--0.781022
155 : loss--0.452836 train_acc--0.819647  val/test_acc--0.812652
156 : loss--0.451506 train_acc--0.821472  val/test_acc--0.810219
157 : loss--0.470443 train_acc--0.808394  val/test_acc--0.824818
158 : loss--0.464667 train_acc--0.817518  val/test_acc--0.783455
159 : loss--0.468113 train_acc--0.815693  val/test_acc--0.807786
160 : loss--0.465383 train_acc--0.820864  val/test_acc--0.795620
161 : loss--0.447558 train_acc--0.817822  val/test_acc--0.807786
162 : loss--0.490264 train_acc--0.808394  val/test_acc--0.800487
163 : loss--0.449478 train_acc--0.819647  val/test_acc--0.798054
164 : loss--0.471376 train_acc--0.815389  val/test_acc--0.793187
