1 : loss--110.293541 train_acc--0.541363  val/test_acc--0.506083
2 : loss--73.329899 train_acc--0.607968  val/test_acc--0.586375
3 : loss--34.247153 train_acc--0.681873  val/test_acc--0.661800
4 : loss--26.359598 train_acc--0.680353  val/test_acc--0.669100
5 : loss--18.132055 train_acc--0.538017  val/test_acc--0.530414
6 : loss--10.255538 train_acc--0.657847  val/test_acc--0.676399
7 : loss--6.128871 train_acc--0.667883  val/test_acc--0.652068
8 : loss--7.108537 train_acc--0.682178  val/test_acc--0.681265
9 : loss--6.457076 train_acc--0.513686  val/test_acc--0.554745
10 : loss--4.620136 train_acc--0.688260  val/test_acc--0.659367
11 : loss--3.029202 train_acc--0.722628  val/test_acc--0.715328
12 : loss--5.221140 train_acc--0.661496  val/test_acc--0.673966
13 : loss--3.028330 train_acc--0.662409  val/test_acc--0.669100
14 : loss--4.065977 train_acc--0.627433  val/test_acc--0.625304
15 : loss--3.011390 train_acc--0.682786  val/test_acc--0.710462
16 : loss--2.320897 train_acc--0.710158  val/test_acc--0.720195
17 : loss--3.035400 train_acc--0.684002  val/test_acc--0.681265
18 : loss--3.152916 train_acc--0.651156  val/test_acc--0.656934
19 : loss--3.975231 train_acc--0.689173  val/test_acc--0.686131
20 : loss--2.870014 train_acc--0.666363  val/test_acc--0.644769
21 : loss--1.645526 train_acc--0.632908  val/test_acc--0.656934
22 : loss--1.336403 train_acc--0.689781  val/test_acc--0.678832
23 : loss--2.038082 train_acc--0.724453  val/test_acc--0.715328
24 : loss--1.995958 train_acc--0.725973  val/test_acc--0.742092
25 : loss--1.759900 train_acc--0.665754  val/test_acc--0.676399
26 : loss--1.317481 train_acc--0.736314  val/test_acc--0.746959
27 : loss--1.544394 train_acc--0.717762  val/test_acc--0.717762
28 : loss--1.799666 train_acc--0.673054  val/test_acc--0.693431
29 : loss--1.727923 train_acc--0.672141  val/test_acc--0.673966
30 : loss--0.857605 train_acc--0.716545  val/test_acc--0.725061
31 : loss--1.513407 train_acc--0.717762  val/test_acc--0.725061
32 : loss--1.197410 train_acc--0.731448  val/test_acc--0.729927
33 : loss--1.184064 train_acc--0.690998  val/test_acc--0.708029
34 : loss--1.139377 train_acc--0.719282  val/test_acc--0.729927
35 : loss--1.790518 train_acc--0.572689  val/test_acc--0.596107
36 : loss--0.958876 train_acc--0.689477  val/test_acc--0.698297
37 : loss--1.415160 train_acc--0.505474  val/test_acc--0.552311
38 : loss--1.235160 train_acc--0.716241  val/test_acc--0.722628
39 : loss--0.968800 train_acc--0.738139  val/test_acc--0.742092
40 : loss--0.913129 train_acc--0.741484  val/test_acc--0.725061
41 : loss--0.849415 train_acc--0.729623  val/test_acc--0.734793
42 : loss--1.139665 train_acc--0.680049  val/test_acc--0.698297
